Date,Price,Change,PercentChange,dummy
2023/5/4,44.9,6.4,16.62337662,1
2023/4/27,38.5,3.4,9.686609687,1
2023/4/20,35.1,0.6,1.739130435,1
2023/4/13,34.5,-0.5,-1.428571429,1
2023/4/6,35,-10.6,-23.24561404,0
2023/3/30,45.6,-3.3,-6.748466258,0
2023/3/23,48.9,0.5,1.033057851,0
2023/3/16,48.4,6.7,16.06714628,1
2023/3/9,41.7,-3.1,-6.919642857,1
2023/3/2,44.8,6.2,16.06217617,0
2023/2/23,38.6,9.8,34.02777778,1
2023/2/16,28.8,3.8,15.2,1
2023/2/9,25,-9.6,-27.74566474,1
2023/2/2,34.6,-2.1,-5.722070845,0
2023/1/26,36.7,3.6,10.87613293,0
2023/1/19,33.1,-6.8,-17.04260652,1
2023/1/12,39.9,-2.1,-5,0
2023/1/5,42,-5.6,-11.76470588,0
2022/12/29,47.6,-4.7,-8.986615679,0
2022/12/22,52.3,7.7,17.26457399,0
2022/12/15,44.6,2.8,6.698564593,1
2022/12/8,41.8,1.4,3.465346535,1
2022/12/1,40.4,0.2,0.497512438,1
2022/11/24,40.2,0,0,1
2022/11/17,40.2,-6.8,-14.46808511,0
2022/11/10,47,14.1,42.85714286,0
2022/11/3,32.9,-12.8,-28.00875274,1
2022/10/27,45.7,-10.5,-18.68327402,0
2022/10/20,56.2,0.3,0.53667263,0
2022/10/13,55.9,1.1,2.00729927,1
2022/10/6,54.8,-6,-9.868421053,1
2022/9/29,60.8,-0.1,-0.164203612,0
2022/9/22,60.9,14.9,32.39130435,0
2022/9/15,46,-7.3,-13.69606004,1
2022/9/8,53.3,2.9,5.753968254,0
2022/9/1,50.4,8,18.86792453,1
2022/8/25,42.4,5.2,13.97849462,1
2022/8/18,37.2,0.5,1.36239782,1
2022/8/11,36.7,-2.2,-5.655526992,1
2022/8/4,38.9,-1.2,-2.992518703,0
2022/7/28,40.1,-2.1,-4.976303318,0
2022/7/21,42.2,-4.3,-9.247311828,0
2022/7/14,46.5,-6.3,-11.93181818,0
2022/7/7,52.8,6.1,13.0620985,0
2022/6/30,46.7,-12.6,-21.24789207,1
2022/6/23,59.3,1,1.715265866,0
2022/6/16,58.3,11.4,24.30703625,1
2022/6/9,46.9,9.8,26.41509434,1
2022/6/2,37.1,-16.4,-30.65420561,1
2022/5/26,53.5,3.1,6.150793651,0
2022/5/19,50.4,1.37,2.794207628,1
2022/5/12,49.03,-3.87,-7.315689981,1
2022/5/5,52.9,-6.5,-10.94276094,0
2022/4/28,59.4,15.5,35.30751708,0
2022/4/21,43.9,-4.5,-9.297520661,1
2022/4/14,48.4,7,16.90821256,0
2022/4/7,41.4,13.9,50.54545455,1
2022/3/31,27.5,-7.9,-22.31638418,1
2022/3/24,35.4,-14.4,-28.91566265,0
2022/3/17,49.8,4,8.733624454,0
2022/3/10,45.8,4.4,10.62801932,1
2022/3/3,41.4,-12.3,-22.90502793,1
2022/2/24,53.7,10.5,24.30555556,0
2022/2/17,43.2,7.7,21.69014085,1
2022/2/10,35.5,-8.2,-18.76430206,1
2022/2/3,43.7,-9.2,-17.39130435,0
2022/1/27,52.9,6.2,13.27623126,0
2022/1/20,46.7,8.4,21.93211488,1
2022/1/13,38.3,5,15.01501502,1
2022/1/6,33.3,2.8,9.180327869,1
2021/12/30,30.5,-3.4,-10.02949853,1
2021/12/23,33.9,-5.4,-13.74045802,0
2021/12/16,39.3,8.8,28.85245902,0
2021/12/9,30.5,-11.9,-28.06603774,1
2021/12/2,42.4,6.7,18.767507,0
2021/11/25,35.7,8.5,31.25,1
2021/11/18,27.2,3.2,13.33333333,1
2021/11/11,24,-2,-7.692307692,1
2021/11/4,26,-3.4,-11.56462585,0
2021/10/28,29.4,1.6,5.755395683,0
2021/10/21,27.8,-4,-12.57861635,1
2021/10/14,31.8,-5,-13.58695652,0
2021/10/7,36.8,-3.9,-9.582309582,0
2021/9/30,40.7,1.5,3.826530612,0
2021/9/23,39.2,-0.1,-0.254452926,1
2021/9/16,39.3,12.1,44.48529412,0
2021/9/9,27.2,-6.1,-18.31831832,1
2021/9/2,33.3,0.3,0.909090909,0
2021/8/26,33,-2.1,-5.982905983,1
2021/8/19,35.1,3.6,11.42857143,0
2021/8/12,31.5,-0.2,-0.630914826,1
2021/8/5,31.7,7.6,31.53526971,0
2021/7/29,24.1,-6.5,-21.24183007,1
2021/7/22,30.6,3.8,14.17910448,0
2021/7/15,26.8,2.3,9.387755102,1
2021/7/8,24.5,2.3,10.36036036,1
2021/7/1,22.2,-1.1,-4.721030043,1
2021/6/24,23.3,-2.9,-11.06870229,0
2021/6/17,26.2,5.5,26.57004831,0
2021/6/10,20.7,0.9,4.545454545,1
2021/6/3,19.8,-6.6,-25,1
2021/5/27,26.4,0.1,0.380228137,0
2021/5/20,26.3,-0.7,-2.592592593,1
2021/5/13,27,3.9,16.88311688,0
2021/5/6,23.1,-2.6,-10.11673152,1
2021/4/29,25.7,5.2,25.36585366,0
2021/4/22,20.5,-4.1,-16.66666667,1
2021/4/15,24.6,4.2,20.58823529,0
2021/4/8,20.4,-2.8,-12.06896552,1
2021/4/1,23.2,2.6,12.62135922,0
2021/3/25,20.6,-3,-12.71186441,1
2021/3/18,23.6,0.1,0.425531915,0
2021/3/11,23.5,-1.8,-7.114624506,1
2021/3/4,25.3,1.5,6.302521008,0
2021/2/25,23.8,-1.6,-6.299212598,1
2021/2/18,25.4,-0.9,-3.422053232,0
2021/2/11,26.3,-9.3,-26.12359551,0
2021/2/4,35.6,-2.7,-7.049608355,0
2021/1/28,38.3,3.8,11.01449275,0
2021/1/21,34.5,2.8,8.832807571,1
2021/1/7,31.7,4.9,18.28358209,1
2020/12/31,26.8,4.8,21.81818182,1
2020/12/24,22,-4.3,-16.34980989,1
2020/12/17,26.3,-0.6,-2.230483271,0
2020/12/10,26.9,4.22,18.60670194,0
2020/12/3,22.68,-4.79,-17.43720422,1
2020/11/26,27.47,1.11,4.210925645,0
2020/11/19,26.36,1.49,5.991154001,1
2020/11/12,24.87,-6.61,-20.9974587,1
2020/11/5,31.48,-3.81,-10.79625956,0
2020/10/29,35.29,2.26,6.842264608,0
2020/10/22,33.03,-2.72,-7.608391608,1
2020/10/15,35.75,-3.22,-8.26276623,0
2020/10/8,38.97,-4.1,-9.519387044,0
2020/10/1,43.07,-2.92,-6.349206349,0
2020/9/24,45.99,5.6,13.86481802,0
2020/9/17,40.39,-8.06,-16.63570691,1
2020/9/10,48.45,6.68,15.992339,0
2020/9/3,41.77,2.15,5.426552246,1
2020/8/27,39.62,-2.78,-6.556603774,1
2020/8/20,42.4,0.28,0.664767331,0
2020/8/13,42.12,-5.48,-11.51260504,1
2020/8/6,47.6,-0.87,-1.794924696,0
2020/7/30,48.47,1.64,3.502028614,0
2020/7/23,46.83,1.46,3.217985453,1
2020/7/16,45.37,2.7,6.327630654,1
2020/7/9,42.67,-3.22,-7.016779255,1
2020/7/2,45.89,-3.01,-6.155419223,0
2020/6/25,48.9,1.12,2.34407702,0
2020/6/18,47.78,9.73,25.57161629,1
2020/6/11,38.05,-0.82,-2.10959609,1
2020/6/4,38.87,-3.26,-7.737953952,0
2020/5/28,42.13,-2.89,-6.419369169,0
2020/5/21,45.02,-5.59,-11.04524797,0
2020/5/14,50.61,-2.05,-3.892897835,0
2020/5/7,52.66,8.63,19.60027254,0
2020/4/30,44.03,-5.97,-11.94,1
2020/4/23,50,7.25,16.95906433,0
2020/4/16,42.75,-1.92,-4.298186702,1
2020/4/9,44.67,-5.06,-10.1749447,0
2020/4/2,49.73,-2.34,-4.493950451,0
2020/3/26,52.07,0.92,1.798631476,0
2020/3/19,51.15,-0.16,-0.311830053,1
2020/3/12,51.31,11.67,29.43995964,0
2020/3/5,39.64,0.51,1.303347815,1
2020/2/27,39.13,10.46,36.48412975,1
2020/2/20,28.67,2.27,8.598484848,1
2020/2/13,26.4,-8.82,-25.04258944,1
2020/2/6,35.22,-1.64,-4.449267499,0
2020/1/30,36.86,12.09,48.8090432,0
2020/1/23,24.77,-2.74,-9.96001454,1
2020/1/16,27.51,-2.38,-7.962529274,0
2020/1/9,29.89,8.01,36.60877514,0
2020/1/2,21.88,0.35,1.625638644,1
2019/12/26,21.53,1.06,5.178309722,1
2019/12/19,20.47,-5.58,-21.42034549,1
2019/12/12,26.05,-3.08,-10.57329214,0
2019/12/5,29.13,-1.15,-3.797886394,0
2019/11/28,30.28,1.25,4.305890458,0
2019/11/21,29.03,4.21,16.96212732,1
2019/11/14,24.82,0.89,3.719180944,1
2019/11/7,23.93,-4.5,-15.82835033,1
2019/10/31,28.43,0.16,0.565970994,0
2019/10/24,28.27,-2.78,-8.953301127,1
2019/10/17,31.05,-12.91,-29.36760692,0
2019/10/10,43.96,4.52,11.46044625,0
2019/10/3,39.44,6.18,18.58087793,1
2019/9/26,33.26,5.44,19.5542775,1
2019/9/19,27.82,-3.43,-10.976,1
2019/9/12,31.25,-8.26,-20.90609972,0
2019/9/5,39.51,-2.7,-6.396588486,0
2019/8/29,42.21,2.49,6.268882175,0
2019/8/22,39.72,-5.13,-11.43812709,1
2019/8/15,44.85,-3.35,-6.950207469,0
2019/8/8,48.2,24.14,100.3325021,0
2019/8/1,24.06,-7.96,-24.85946284,1
2019/7/25,32.02,3.38,11.80167598,0
2019/7/18,28.64,1.14,4.145454545,1
2019/7/11,27.5,-4.85,-14.99227202,1
2019/7/4,32.35,0.3,0.936037441,0
2019/6/27,32.05,-0.08,-0.248988484,1
2019/6/20,32.13,-2.07,-6.052631579,0
2019/6/13,34.2,-8.38,-19.68060122,0
2019/6/6,42.58,2.5,6.23752495,0
2019/5/30,40.08,4,11.0864745,1
2019/5/23,36.08,-3.22,-8.193384224,1
2019/5/16,39.3,16.11,69.46959897,0
2019/5/9,23.19,1.85,8.669165886,1
2019/5/2,21.34,1.17,5.8006941,1
2019/4/25,20.17,-1.66,-7.604214384,1
2019/4/18,21.83,1.45,7.114818449,0
2019/4/11,20.38,-7.89,-27.90944464,1
2019/4/4,28.27,1.07,3.933823529,0
2019/3/28,27.2,3.79,16.18966254,1
2019/3/21,23.41,-7.65,-24.62974887,1
2019/3/14,31.06,4.31,16.11214953,0
2019/3/7,26.75,6.75,33.75,1
2019/2/28,20,-5.39,-21.22883025,1
2019/2/21,25.39,0.32,1.276426007,0
2019/2/14,25.07,2.29,10.05267779,1
2019/2/7,22.78,-8.98,-28.27455919,1
2019/1/31,31.76,-0.56,-1.732673267,0
2019/1/24,32.32,-3.93,-10.84137931,0
2019/1/17,36.25,6.88,23.42526387,0
2019/1/10,29.37,-13.4,-31.33037176,1
2019/1/3,42.77,-7.53,-14.97017893,0
2018/12/27,50.3,3,6.342494715,0
2018/12/20,47.3,-1.57,-3.21260487,1
2018/12/13,48.87,18.37,60.2295082,0
2018/12/6,30.5,-8.97,-22.7261211,1
2018/11/29,39.47,-7.67,-16.27068307,0
2018/11/22,47.14,11.18,31.09010011,0
2018/11/15,35.96,4.77,15.29336326,1
2018/11/8,31.19,-3.29,-9.541763341,1
2018/11/1,34.48,-6.52,-15.90243902,0
2018/10/25,41,5.98,17.0759566,0
2018/10/18,35.02,-0.43,-1.212976023,1
2018/10/11,35.45,10.34,41.17881322,0
2018/10/4,25.11,-5.99,-19.26045016,1
2018/9/27,31.1,-0.94,-2.933832709,0
2018/9/20,32.04,-0.8,-2.436053593,0
2018/9/13,32.84,6.54,24.86692015,0
2018/9/6,26.3,1.91,7.831078311,1
2018/8/30,24.39,-2.68,-9.900258589,1
