Date,Price,Change,PercentChange,dummy,
2023/5/4,24.1,0,0,0,
2023/4/27,24.1,-3.1,-11.39705882,0,
2023/4/20,27.2,1.1,4.214559387,1,
2023/4/13,26.1,-7.2,-21.62162162,0,
2023/4/6,33.3,10.8,48,1,
2023/3/30,22.5,1.6,7.655502392,1,
2023/3/23,20.9,1.7,8.854166667,1,
2023/3/16,19.2,-5.6,-22.58064516,0,
2023/3/9,24.8,1.4,5.982905983,1,
2023/3/2,23.4,1.8,8.333333333,1,
2023/2/23,21.6,-12.5,-36.6568915,0,
2023/2/16,34.1,-3.4,-9.066666667,0,
2023/2/9,37.5,7.6,25.4180602,1,
2023/2/2,29.9,1.5,5.281690141,1,
2023/1/26,28.4,-2.6,-8.387096774,0,
2023/1/19,31,7,29.16666667,1,
2023/1/12,24,3.5,17.07317073,1,
2023/1/5,20.5,-6,-22.64150943,0,
2022/12/29,26.5,6.2,30.54187192,1,
2022/12/22,20.3,-4,-16.46090535,0,
2022/12/15,24.3,-0.4,-1.619433198,0,
2022/12/8,24.7,0.2,0.816326531,1,
2022/12/1,24.5,-4.4,-15.22491349,0,
2022/11/24,28.9,-4.6,-13.73134328,0,
2022/11/17,33.5,8.4,33.46613546,1,
2022/11/10,25.1,-5.5,-17.97385621,0,
2022/11/3,30.6,4,15.03759398,1,
2022/10/27,26.6,4,17.69911504,1,
2022/10/20,22.6,2.2,10.78431373,1,
2022/10/13,20.4,-3.5,-14.64435146,0,
2022/10/6,23.9,3.9,19.5,1,
2022/9/29,20,2.3,12.99435028,1,
2022/9/22,17.7,-8.4,-32.18390805,0,
2022/9/15,26.1,8,44.19889503,1,
2022/9/8,18.1,-3.8,-17.35159817,0,
2022/9/1,21.9,-5.8,-20.93862816,0,
2022/8/25,27.7,-5.6,-16.81681682,0,
2022/8/18,33.3,1.1,3.416149068,1,
2022/8/11,32.2,1.6,5.22875817,1,
2022/8/4,30.6,2.9,10.46931408,1,
2022/7/28,27.7,-1.9,-6.418918919,0,
2022/7/21,29.6,2.7,10.03717472,1,
2022/7/14,26.9,7.5,38.65979381,1,
2022/7/7,19.4,-3.4,-14.9122807,0,
2022/6/30,22.8,4.6,25.27472527,1,
2022/6/23,18.2,-1.2,-6.18556701,0,
2022/6/16,19.4,-1.6,-7.619047619,0,
2022/6/9,21,-11,-34.375,0,
2022/6/2,32,12.2,61.61616162,1,
2022/5/26,19.8,-6.2,-23.84615385,0,
2022/5/19,26,1.68,6.907894737,1,
2022/5/12,24.32,-2.58,-9.591078067,0,
2022/5/5,26.9,10.5,64.02439024,1,
2022/4/28,16.4,-2.5,-13.22751323,0,
2022/4/21,18.9,3.1,19.62025316,1,
2022/4/14,15.8,-8.9,-36.03238866,0,
2022/4/7,24.7,-7.2,-22.57053292,0,
2022/3/31,31.9,-0.9,-2.743902439,0,
2022/3/24,32.8,10.3,45.77777778,1,
2022/3/17,22.5,-1.5,-6.25,0,
2022/3/10,24,-6.4,-21.05263158,0,
2022/3/3,30.4,7,29.91452991,1,
2022/2/24,23.4,4.2,21.875,1,
2022/2/17,19.2,-5.2,-21.31147541,0,
2022/2/10,24.4,-2.1,-7.924528302,0,
2022/2/3,26.5,3.4,14.71861472,1,
2022/1/27,23.1,2.1,10,1,
2022/1/20,21,-3.9,-15.6626506,0,
2022/1/13,24.9,-7.9,-24.08536585,0,
2022/1/6,32.8,-4.9,-12.99734748,0,
2021/12/30,37.7,8.1,27.36486486,1,
2021/12/23,29.6,4.4,17.46031746,1,
2021/12/16,25.2,-4.5,-15.15151515,0,
2021/12/9,29.7,3,11.23595506,1,
2021/12/2,26.7,-7.1,-21.00591716,0,
2021/11/25,33.8,-5,-12.88659794,0,
