Date,Price,Change,PercentChange,dummy,
2023/3/31,108.4,-1.3,-1.185050137,0,
2023/2/28,109.7,-0.5,-0.453720508,0,
2023/1/31,110.2,-0.5,-0.451671183,0,
2022/12/31,110.7,-0.8,-0.717488789,0,
2022/11/30,111.5,-1,-0.888888889,0,
2022/10/31,112.5,-1,-0.881057269,0,
2022/9/30,113.5,-0.6,-0.525854514,0,
2022/8/31,114.1,-0.3,-0.262237762,0,
2022/7/31,114.4,-0.7,-0.608166811,0,
2022/6/30,115.1,-0.8,-0.690250216,0,
2022/5/31,115.9,-1,-0.855431993,0,
2022/4/30,116.9,-0.7,-0.595238095,0,
2022/3/31,117.6,0,0,0,
2022/2/28,117.6,0.4,0.341296928,1,
2022/1/31,117.2,-0.6,-0.509337861,0,
2021/12/31,117.8,0.9,0.769888794,1,
2021/11/30,116.9,0.7,0.602409639,1,
2021/10/31,116.2,0.8,0.693240901,1,
2021/9/30,115.4,0,0,0,
2021/8/31,115.4,0.7,0.610287707,1,
2021/7/31,114.7,1.1,0.968309859,1,
2021/6/30,113.6,0.9,0.798580302,1,
2021/5/31,112.7,0.7,0.625,1,
2021/4/30,112,1.1,0.991884581,1,
2021/3/31,110.9,1,0.909918107,1,
2021/2/28,109.9,0.1,0.091074681,1,
2021/1/31,109.8,0.7,0.641613199,1,
2020/12/31,109.1,0.7,0.645756458,1,
2020/11/30,108.4,0.6,0.556586271,1,
2020/10/31,107.8,0.5,0.465983225,1,
2020/9/30,107.3,0.5,0.468164794,1,
2020/8/31,106.8,0.9,0.849858357,1,
2020/7/31,105.9,1.7,1.631477927,1,
2020/6/30,104.2,2.1,2.056807052,1,
2020/5/31,102.1,1.8,1.794616152,1,
2020/4/30,100.3,-5.9,-5.555555556,0,
2020/3/31,106.2,-5.2,-4.667863555,0,
2020/2/29,111.4,0,0,0,
2020/1/31,111.4,0.5,0.450856628,1,
2019/12/31,110.9,-0.3,-0.269784173,0,
2019/11/30,111.2,-0.1,-0.08984726,0,
2019/10/31,111.3,-0.5,-0.447227191,0,
2019/9/30,111.8,-0.3,-0.267618198,0,
2019/8/31,112.1,-0.2,-0.17809439,0,
2019/7/31,112.3,0.1,0.08912656,1,
2019/6/30,112.2,-0.1,-0.089047195,0,
2019/5/31,112.3,-0.2,-0.177777778,0,
2019/4/30,112.5,0.1,0.088967972,1,
2019/3/31,112.4,0.3,0.267618198,1,
2019/2/28,112.1,0.5,0.448028674,1,
2019/1/31,111.6,-0.2,-0.178890877,0,
2018/12/31,111.8,-0.2,-0.178571429,0,
2018/11/30,112,-0.1,-0.089206066,0,
2018/10/31,112.1,0,0,0,
2018/9/30,112.1,0.7,0.628366248,1,
2018/8/31,111.4,0.2,0.179856115,1,
2018/7/31,111.2,0.6,0.542495479,1,
2018/6/30,110.6,0.6,0.545454545,1,
2018/5/31,110,0.3,0.273473108,1,
2018/4/30,109.7,0.5,0.457875458,1,
2018/3/31,109.2,0.5,0.459981601,1,
2018/2/28,108.7,1,0.928505107,1,
2018/1/31,107.7,0.8,0.748362956,1,
2017/12/31,106.9,0.7,0.65913371,1,
2017/11/30,106.2,0.5,0.473036897,1,
2017/10/31,105.7,1.1,1.051625239,1,
2017/9/30,104.6,0.3,0.287631831,1,
2017/8/31,104.3,0.5,0.481695568,1,
2017/7/31,103.8,0.2,0.193050193,1,
2017/6/30,103.6,0.5,0.484966052,1,
2017/5/31,103.1,0.4,0.389483934,1,
2017/4/30,102.7,0.2,0.195121951,1,
2017/3/31,102.5,0.6,0.588812561,1,
2017/2/28,101.9,0.4,0.39408867,1,
2017/1/31,101.5,0.7,0.694444444,1,
2016/12/31,100.8,0.5,0.498504487,1,
2016/11/30,100.3,0.2,0.1998002,1,
2016/10/31,100.1,-0.3,-0.298804781,0,
2016/9/30,100.4,0.2,0.199600798,1,
2016/8/31,100.2,0,0,0,
2016/7/31,100.2,0.3,0.3003003,1,
2016/6/30,99.9,0.1,0.100200401,1,
2016/5/31,99.8,0,0,0,
2016/4/30,99.8,0.3,0.301507538,1,
2016/3/31,99.5,0,0,0,
2016/2/29,99.5,-0.1,-0.100401606,0,
2016/1/31,99.6,-0.5,-0.4995005,0,
2015/12/31,100.1,-0.2,-0.199401795,0,
2015/11/30,100.3,0.4,0.4004004,1,
2015/10/31,99.9,0.2,0.200601805,1,
2015/9/30,99.7,-0.1,-0.100200401,0,
2015/8/31,99.8,-0.1,-0.1001001,0,
2015/7/31,99.9,-0.4,-0.398803589,0,
2015/6/30,100.3,0.6,0.601805416,1,
2015/5/31,99.7,0.3,0.301810865,1,
2015/4/30,99.4,0.4,0.404040404,1,
2015/3/31,99,0.2,0.20242915,1,
2015/2/28,98.8,0.3,0.304568528,1,
2015/1/31,98.5,0,0,0,
2014/12/31,98.5,0.6,0.612870276,1,
2014/11/30,97.9,0.3,0.307377049,1,
2014/10/31,97.6,0.1,0.102564103,1,
2014/9/30,97.5,0.7,0.723140496,1,
2014/8/31,96.8,0,0,0,
2014/7/31,96.8,0.6,0.623700624,1,
2014/6/30,96.2,0.7,0.732984293,1,
2014/5/31,95.5,0.5,0.526315789,1,
2014/4/30,95,0.1,0.105374078,1,
2014/3/31,94.9,0.8,0.850159405,1,
2014/2/28,94.1,0.7,0.749464668,1,
2014/1/31,93.4,0.1,0.107181136,1,
2013/12/31,93.3,0.2,0.214822771,1,
2013/11/30,93.1,0.7,0.757575758,1,
2013/10/31,92.4,0.2,0.21691974,1,
2013/9/30,92.2,0.7,0.765027322,1,
2013/8/31,91.5,0.4,0.439077936,1,
2013/7/31,91.1,0.3,0.330396476,1,
2013/6/30,90.8,0.1,0.110253583,1,
2013/5/31,90.7,0.3,0.331858407,1,
2013/4/30,90.4,0.5,0.556173526,1,
2013/3/31,89.9,-0.2,-0.221975583,0,
2013/2/28,90.1,0.3,0.334075724,1,
2013/1/31,89.8,0.6,0.67264574,1,
2012/12/31,89.2,0.1,0.112233446,1,
2012/11/30,89.1,-0.1,-0.112107623,0,
2012/10/31,89.2,0.2,0.224719101,1,
2012/9/30,89,0.4,0.451467269,1,
2012/8/31,88.6,-0.4,-0.449438202,0,
2012/7/31,89,0.1,0.112485939,1,
2012/6/30,88.9,-0.4,-0.447928331,0,
2012/5/31,89.3,0.2,0.224466891,1,
2012/4/30,89.1,-0.1,-0.112107623,0,
2012/3/31,89.2,0.4,0.45045045,1,
2012/2/29,88.8,0.6,0.680272109,1,
2012/1/31,88.2,0.3,0.341296928,1,
2011/12/31,87.9,0.5,0.57208238,1,
2011/11/30,87.4,0,0,0,
2011/10/31,87.4,0.5,0.575373993,1,
2011/9/30,86.9,-0.5,-0.57208238,0,
2011/8/31,87.4,-0.6,-0.681818182,0,
2011/7/31,88,0.4,0.456621005,1,
2011/6/30,87.6,0,0,0,
2011/5/31,87.6,0.6,0.689655172,1,
2011/4/30,87,0.1,0.115074799,1,
2011/3/31,86.9,0.9,1.046511628,1,
2011/2/28,86,0.6,0.702576112,1,
2011/1/31,85.4,0.1,0.117233294,1,
2010/12/31,85.3,1,1.18623962,1,
2010/11/30,84.3,0.7,0.837320574,1,
2010/10/31,83.6,-0.1,-0.119474313,0,
2010/9/30,83.7,0.5,0.600961538,1,
2010/8/31,83.2,0.2,0.240963855,1,
2010/7/31,83,0,0,0,
2010/6/30,83,0.1,0.120627262,1,
2010/5/31,82.9,0.4,0.484848485,1,
2010/4/30,82.5,0.2,0.243013366,1,
2010/3/31,82.3,1.4,1.73053152,1,
2010/2/28,80.9,0,0,0,
2010/1/31,80.9,0.5,0.621890547,1,
2009/12/31,80.4,0.8,1.005025126,1,
2009/11/30,79.6,0.8,1.015228426,1,
2009/10/31,78.8,0.3,0.382165605,1,
2009/9/30,78.5,0.6,0.770218228,1,
2009/8/31,77.9,0.7,0.906735751,1,
2009/7/31,77.2,0.5,0.651890482,1,
2009/6/30,76.7,0.5,0.656167979,1,
2009/5/31,76.2,0.4,0.527704485,1,
2009/4/30,75.8,0.1,0.132100396,1,
2009/3/31,75.7,-1.3,-1.688311688,0,
2009/2/28,77,-1.1,-1.408450704,0,
2009/1/31,78.1,-1.5,-1.884422111,0,
2008/12/31,79.6,-2.3,-2.808302808,0,
2008/11/30,81.9,-2.2,-2.615933413,0,
2008/10/31,84.1,-2.9,-3.333333333,0,
2008/9/30,87,-1.7,-1.916572717,0,
2008/8/31,88.7,-1.1,-1.224944321,0,
2008/7/31,89.8,-2.1,-2.285092492,0,
2008/6/30,91.9,-0.5,-0.541125541,0,
2008/5/31,92.4,-0.8,-0.858369099,0,
2008/4/30,93.2,-0.6,-0.639658849,0,
2008/3/31,93.8,-1.4,-1.470588235,0,
2008/2/29,95.2,-1.2,-1.244813278,0,
2008/1/31,96.4,-1.2,-1.229508197,0,
2007/12/31,97.6,-0.9,-0.913705584,0,
2007/11/30,98.5,-0.9,-0.905432596,0,
2007/10/31,99.4,-0.6,-0.6,0,
2007/9/30,100,-0.6,-0.596421471,0,
2007/8/31,100.6,-0.5,-0.494559842,0,
2007/7/31,101.1,-0.3,-0.295857988,0,
2007/6/30,101.4,-0.2,-0.196850394,0,
2007/5/31,101.6,-0.1,-0.098328417,0,
2007/4/30,101.7,-0.3,-0.294117647,0,
2007/3/31,102,0.3,0.294985251,1,
2007/2/28,101.7,-0.1,-0.098231827,0,
2007/1/31,101.8,-0.3,-0.293829579,0,
2006/12/31,102.1,0.3,0.294695481,1,
