Date,Price,Change,PercentChange,dummy
2023/3/31,51.2,-3.9,-7.078039927,0
2023/2/28,55.1,-0.1,-0.18115942,0
2023/1/31,55.2,6,12.19512195,1
2022/12/31,49.2,-6.3,-11.35135135,0
2022/11/30,55.5,1,1.834862385,1
2022/10/31,54.5,-1.4,-2.504472272,0
2022/9/30,55.9,-0.2,-0.356506239,0
2022/8/31,56.1,-0.3,-0.531914894,0
2022/7/31,56.4,0.4,0.714285714,1
2022/6/30,56,-0.4,-0.709219858,0
2022/5/31,56.4,-1.1,-1.913043478,0
2022/4/30,57.5,-0.9,-1.54109589,0
2022/3/31,58.4,1.2,2.097902098,1
2022/2/28,57.2,-3.2,-5.298013245,0
2022/1/31,60.4,-1.3,-2.106969206,0
2021/12/31,61.7,-5.9,-8.727810651,0
2021/11/30,67.6,1,1.501501502,1
2021/10/31,66.6,4.5,7.246376812,1
2021/9/30,62.1,0.4,0.648298217,1
2021/8/31,61.7,-2.3,-3.59375,0
2021/7/31,64,2.8,4.575163399,1
2021/6/30,61.2,-2.7,-4.225352113,0
2021/5/31,63.9,0.9,1.428571429,1
2021/4/30,63,0.7,1.123595506,1
2021/3/31,62.3,5.9,10.46099291,1
2021/2/28,56.4,-2.3,-3.918228279,0
2021/1/31,58.7,1.2,2.086956522,1
2020/12/31,57.5,1.4,2.495543672,1
2020/11/30,56.1,0,0,0
2020/10/31,56.1,-1,-1.751313485,0
2020/9/30,57.1,0,0,0
2020/8/31,57.1,0.4,0.705467372,1
2020/7/31,56.7,-0.6,-1.047120419,0
2020/6/30,57.3,11.9,26.21145374,1
2020/5/31,45.4,3.7,8.872901679,1
2020/4/30,41.7,-11.2,-21.17202268,0
2020/3/31,52.9,-4.6,-8,0
2020/2/29,57.5,1.5,2.678571429,1
2020/1/31,56,0.3,0.538599641,1
2019/12/31,55.7,2.1,3.917910448,1
2019/11/30,53.6,-1.2,-2.189781022,0
2019/10/31,54.8,1.6,3.007518797,1
2019/9/30,53.2,-2.8,-5,0
2019/8/31,56,1.6,2.941176471,1
2019/7/31,54.4,-0.8,-1.449275362,0
2019/6/30,55.2,-0.9,-1.604278075,0
