Date,Index,Change,MoM,YoY
2023/4/30,47.1,0.8,1.727861771,-15.74239714
2023/3/31,46.3,-1.4,-2.935010482,-18.77192982
2023/2/28,47.7,0.3,0.632911392,-18.32191781
2023/1/31,47.4,-1,-2.066115702,-17.70833333
2022/12/31,48.4,-0.6,-1.224489796,-17.40614334
2022/11/30,49,-1,-2,-19.40789474
2022/10/31,50,-1,-1.960784314,-17.21854305
2022/9/30,51,-1.9,-3.59168242,-15.98023064
2022/8/31,52.9,0.2,0.379506641,-11.24161074
2022/7/31,52.7,-0.4,-0.753295669,-12.16666667
2022/6/30,53.1,-3,-5.347593583,-13.09328969
2022/5/31,56.1,0.2,0.357781753,-9.369951535
2022/4/30,55.9,-1.1,-1.929824561,-8.360655738
2022/3/31,57,-1.4,-2.397260274,-10.65830721
2022/2/28,58.4,0.8,1.388888889,-3.947368421
2022/1/31,57.6,-1,-1.706484642,-2.866779089
2021/12/31,58.6,-2.2,-3.618421053,-2.657807309
2021/11/30,60.8,0.4,0.662251656,6.108202443
2021/10/31,60.4,-0.3,-0.494233937,2.896081772
2021/9/30,60.7,1.1,1.845637584,9.369369369
2021/8/31,59.6,-0.4,-0.666666667,7.581227437
2021/7/31,60,-1.1,-1.800327332,11.52416357
2021/6/30,61.1,-0.8,-1.292407108,16.15969582
2021/5/31,61.9,0.9,1.475409836,42.29885057
2021/4/30,61,-2.8,-4.388714734,45.93301435
2021/3/31,63.8,3,4.934210526,30.20408163
2021/2/28,60.8,1.5,2.529510961,21.35728543
2021/1/31,59.3,-0.9,-1.495016611,15.36964981
2020/12/31,60.2,2.9,5.061082024,25.67849687
2020/11/30,57.3,-1.4,-2.385008518,19.12681913
2020/10/31,58.7,3.2,5.765765766,22.03742204
2020/9/30,55.5,0.1,0.180505415,15.38461538
2020/8/31,55.4,1.6,2.973977695,14.22680412
2020/7/31,53.8,1.2,2.281368821,5.490196078
2020/6/30,52.6,9.1,20.91954023,2.13592233
2020/5/31,43.5,1.7,4.066985646,-17.30038023
2020/4/30,41.8,-7.2,-14.69387755,-22.01492537
2020/3/31,49,-1.1,-2.195608782,-10.74681239
2020/2/29,50.1,-1.3,-2.529182879,-7.904411765
2020/1/31,51.4,3.5,7.306889353,-7.719928187
2019/12/31,47.9,-0.2,-0.415800416,-12.75045537
2019/11/30,48.1,0,0,-17.91808874
2019/10/31,48.1,0,0,-17.21170396
2019/9/30,48.1,-0.4,-0.824742268,-18.88701518
2019/8/31,48.5,-2.5,-4.901960784,-19.83471074
2019/7/31,51,-0.5,-0.970873786,-12.22030981
2019/6/30,51.5,-1.1,-2.091254753,-14.02337229
2019/5/31,52.6,-1,-1.865671642,-10.84745763
2019/4/30,53.6,-1.3,-2.367941712,-8.532423208
2019/3/31,54.9,0.5,0.919117647,-6.632653061
2019/2/28,54.4,-1.3,-2.333931777,-10.67323481
2019/1/31,55.7,0.8,1.4571949,-6.228956229
2018/12/31,54.9,-3.7,-6.313993174,-8.040201005
2018/11/30,58.6,0.5,0.860585198,1.736111111
2018/10/31,58.1,-1.2,-2.023608769,-0.853242321
2018/9/30,59.3,-1.2,-1.983471074,-1.166666667
2018/8/31,60.5,2.4,4.13080895,3.595890411
2018/7/31,58.1,-1.8,-3.005008347,2.831858407
2018/6/30,59.9,0.9,1.525423729,6.583629893
2018/5/31,59,0.4,0.682593857,4.609929078
2018/4/30,58.6,-0.2,-0.340136054,5.017921147
2018/3/31,58.8,-2.1,-3.448275862,4.07079646
2018/2/28,60.9,1.5,2.525252525,5.54592721
2018/1/31,59.4,-0.3,-0.502512563,6.642728905
2017/12/31,59.7,2.1,3.645833333,9.742647059
2017/11/30,57.6,-1,-1.706484642,8.270676692
2017/10/31,58.6,-1.4,-2.333333333,13.12741313
2017/9/30,60,1.6,2.739726027,17.41682975
2017/8/31,58.4,1.9,3.362831858,17.26907631
2017/7/31,56.5,0.3,0.533807829,7.210626186
2017/6/30,56.2,-0.2,-0.354609929,7.662835249
2017/5/31,56.4,0.6,1.075268817,9.727626459
2017/4/30,55.8,-0.7,-1.238938053,8.771929825
2017/3/31,56.5,-1.2,-2.079722704,10.78431373
2017/2/28,57.7,2,3.590664273,17.27642276
2017/1/31,55.7,1.3,2.389705882,17.01680672
2016/12/31,54.4,1.2,2.255639098,11.70431211
2016/11/30,53.2,1.4,2.702702703,8.350305499
2016/10/31,51.8,0.7,1.369863014,5.49898167
2016/9/30,51.1,1.3,2.610441767,1.996007984
2016/8/31,49.8,-2.9,-5.5028463,-0.796812749
2016/7/31,52.7,0.5,0.957854406,1.346153846
2016/6/30,52.2,0.8,1.556420233,-0.571428571
2016/5/31,51.4,0.1,0.194931774,-2.835538752
2016/4/30,51.3,0.3,0.588235294,-1.156069364
2016/3/31,51,1.8,3.658536585,-2.111324376
2016/2/29,49.2,1.6,3.361344538,-7.169811321
2016/1/31,47.6,-1.1,-2.258726899,-11.68831169
2015/12/31,48.7,-0.4,-0.814663951,-12.56732496
2015/11/30,49.1,0,0,-12.78863233
2015/10/31,49.1,-1,-1.996007984,-12.63345196
2015/9/30,50.1,-0.1,-0.199203187,-10.05385996
2015/8/31,50.2,-1.8,-3.461538462,-10.8348135
2015/7/31,52,-0.5,-0.952380952,-5.626134301
2015/6/30,52.5,-0.4,-0.756143667,-4.545454545
2015/5/31,52.9,1,1.926782274,-5.026929982
2015/4/30,51.9,-0.2,-0.383877159,-8.303886926
2015/3/31,52.1,-0.9,-1.698113208,-6.797853309
2015/2/28,53,-0.9,-1.669758813,-3.636363636
2015/1/31,53.9,-1.8,-3.231597846,2.666666667
2014/12/31,55.7,-0.6,-1.065719361,-1.415929204
