列標籤,平均值 - Price
<1948/1/30,
1948年,15.53
1949年,15.22416667
1950年,18.43083333
1951年,22.365
1952年,24.63583333
1953年,24.7
1954年,30.0625
1955年,40.88083333
1956年,46.48083333
1957年,44.24583333
1958年,46.78583333
1959年,57.8075
1960年,55.60166667
1961年,66.65333333
1962年,61.95583333
1963年,70.21833333
1964年,81.54666667
1965年,88.47
1966年,84.45833333
1967年,92.2325
1968年,98.54666667
1969年,97.59
1970年,83.44333333
1971年,98.29
1972年,109.7816667
1973年,106.5091667
1974年,81.4825
1975年,87.12833333
1976年,102.7908333
1977年,97.4775
1978年,95.46833333
1979年,103.3266667
1980年,119.5783333
1981年,127.8425
1982年,120.2758333
1983年,160.7625
1984年,160.315
1985年,188.9666667
1986年,238.9208333
1987年,285.9916667
1988年,268.0508333
1989年,326.3141667
1990年,332.68
1991年,381.5358333
1992年,417.1166667
1993年,453.4525
1994年,460.6625
1995年,546.8775
1996年,674.8458333
1997年,875.8625
1998年,1087.855833
1999年,1330.583333
2000年,1419.728333
2001年,1185.753333
2002年,988.5883333
2003年,967.93
2004年,1133.965833
2005年,1207.77
2006年,1318.306667
2007年,1478.096667
2008年,1215.221667
2009年,948.5191667
2010年,1130.681667
2011年,1280.756667
2012年,1386.505
2013年,1652.294167
2014年,1944.414167
2015年,2051.929167
2016年,2105.828333
2017年,2465.2
2018年,2738.395833
2019年,2937.961667
2020年,3216.954167
2021年,4278.758333
2022年,4077.655
2023年,4052.02
總計,728.9412735
