Date,Date,Price,Change,PercentChange,dummy,遺漏項,,,
2023/5/4,2023/5/4,4136.25,-33.23,-0.796981878,0,2021/1/15,,,
2023/4/28,2023/4/27,4169.48,35.96,0.869960711,1,2000/6/30,,,
2023/4/21,2023/4/20,4133.52,-4.12,-0.09957367,0,1996/1/12,,,
2023/4/14,2023/4/13,4137.64,32.62,0.794636811,1,,,,
2023/4/7,2023/4/6,4105.02,-4.29,-0.104397089,0,,,,
2023/3/31,2023/3/30,4109.31,138.32,3.48326236,1,,,,
2023/3/24,2023/3/23,3970.99,54.35,1.387669022,1,,,,
2023/3/17,2023/3/16,3916.64,55.05,1.425578583,1,,,,
2023/3/10,2023/3/9,3861.59,-184.05,-4.549342008,0,,,,
2023/3/3,2023/3/2,4045.64,75.6,1.904262929,1,,,,
2023/2/24,2023/2/23,3970.04,-109.05,-2.673390389,0,,,,
2023/2/17,2023/2/16,4079.09,-11.37,-0.277963848,0,,,,
2023/2/10,2023/2/9,4090.46,-46.02,-1.112540131,0,,,,
2023/2/3,2023/2/2,4136.48,65.92,1.619433198,1,,,,
2023/1/27,2023/1/26,4070.56,97.95,2.465633425,1,,,,
2023/1/20,2023/1/19,3972.61,-26.48,-0.662150639,0,,,,
2023/1/13,2023/1/12,3999.09,104.01,2.670291753,1,,,,
2023/1/6,2023/1/5,3895.08,55.58,1.447584321,1,,,,
2022/12/30,2022/12/29,3839.5,-5.32,-0.138367986,0,,,,
2022/12/23,2022/12/22,3844.82,-7.54,-0.195724179,0,,,,
2022/12/16,2022/12/15,3852.36,-82.02,-2.084699495,0,,,,
2022/12/9,2022/12/8,3934.38,-137.32,-3.372547093,0,,,,
2022/12/2,2022/12/1,4071.7,45.58,1.132107339,1,,,,
2022/11/25,2022/11/24,4026.12,60.78,1.532781552,1,,,,
2022/11/18,2022/11/17,3965.34,-27.59,-0.690971292,0,,,,
2022/11/11,2022/11/10,3992.93,222.38,5.897813316,1,,,,
2022/11/4,2022/11/3,3770.55,-130.51,-3.345500966,0,,,,
2022/10/28,2022/10/27,3901.06,148.31,3.952035174,1,,,,
2022/10/21,2022/10/20,3752.75,169.68,4.735603826,1,,,,
2022/10/14,2022/10/13,3583.07,-56.59,-1.55481556,0,,,,
2022/10/7,2022/10/6,3639.66,54.04,1.507131263,1,,,,
2022/9/30,2022/9/29,3585.62,-107.61,-2.91370968,0,,,,
2022/9/23,2022/9/22,3693.23,-180.1,-4.649745826,0,,,,
2022/9/16,2022/9/15,3873.33,-194.03,-4.770416191,0,,,,
2022/9/9,2022/9/8,4067.36,143.1,3.646547375,1,,,,
2022/9/2,2022/9/1,3924.26,-133.4,-3.287609115,0,,,,
2022/8/26,2022/8/25,4057.66,-170.82,-4.039749508,0,,,,
2022/8/19,2022/8/18,4228.48,-51.67,-1.207200682,0,,,,
2022/8/12,2022/8/11,4280.15,134.96,3.255821808,1,,,,
2022/8/5,2022/8/4,4145.19,14.9,0.360749487,1,,,,
2022/7/29,2022/7/28,4130.29,168.66,4.25733852,1,,,,
2022/7/22,2022/7/21,3961.63,98.47,2.548949565,1,,,,
2022/7/15,2022/7/14,3863.16,-36.22,-0.928865615,0,,,,
2022/7/8,2022/7/7,3899.38,74.05,1.935780704,1,,,,
2022/7/1,2022/6/30,3825.33,-86.41,-2.208991395,0,,,,
2022/6/24,2022/6/23,3911.74,236.9,6.446539169,1,,,,
2022/6/17,2022/6/16,3674.84,-226.02,-5.794106941,0,,,,
2022/6/10,2022/6/9,3900.86,-207.68,-5.054836998,0,,,,
2022/6/3,2022/6/2,4108.54,-49.7,-1.195217207,0,,,,
2022/5/27,2022/5/26,4158.24,256.88,6.584370578,1,,,,
2022/5/20,2022/5/19,3901.36,-122.53,-3.045063359,0,,,,
2022/5/13,2022/5/12,4023.89,-99.45,-2.41187969,0,,,,
2022/5/6,2022/5/5,4123.34,-8.59,-0.207893164,0,,,,
2022/4/29,2022/4/28,4131.93,-139.85,-3.273810917,0,,,,
2022/4/22,2022/4/21,4271.78,-120.81,-2.750313596,0,,,,
2022/4/15,2022/4/14,4392.59,-95.69,-2.131997112,0,,,,
2022/4/8,2022/4/7,4488.28,-57.58,-1.266647015,0,,,,
2022/4/1,2022/3/31,4545.86,2.8,0.061632468,1,,,,
2022/3/25,2022/3/24,4543.06,79.94,1.791123698,1,,,,
2022/3/18,2022/3/17,4463.12,258.81,6.155825807,1,,,,
2022/3/11,2022/3/10,4204.31,-124.56,-2.877425287,0,,,,
2022/3/4,2022/3/3,4328.87,-55.78,-1.272165395,0,,,,
2022/2/25,2022/2/24,4384.65,35.78,0.82274246,1,,,,
2022/2/18,2022/2/17,4348.87,-69.77,-1.578992631,0,,,,
2022/2/11,2022/2/10,4418.64,-81.89,-1.819563474,0,,,,
2022/2/4,2022/2/3,4500.53,68.68,1.549691438,1,,,,
2022/1/28,2022/1/27,4431.85,33.91,0.771042806,1,,,,
2022/1/21,2022/1/20,4397.94,-264.91,-5.68128934,0,,,,
2022/1/14,2022/1/13,4662.85,-14.18,-0.303183858,0,,,,
2022/1/7,2022/1/6,4677.03,-89.15,-1.870470691,0,,,,
2021/12/31,2021/12/30,4766.18,40.39,0.854671917,1,,,,
2021/12/24,2021/12/23,4725.79,105.15,2.275658783,1,,,,
2021/12/17,2021/12/16,4620.64,-91.38,-1.939295674,0,,,,
2021/12/10,2021/12/9,4712.02,173.59,3.824890987,1,,,,
2021/12/3,2021/12/2,4538.43,-56.19,-1.222952061,0,,,,
2021/11/26,2021/11/25,4594.62,-103.34,-2.199678158,0,,,,
2021/11/19,2021/11/18,4697.96,15.11,0.322666752,1,,,,
2021/11/12,2021/11/11,4682.85,-14.68,-0.312504657,0,,,,
2021/11/5,2021/11/4,4697.53,92.15,2.000920662,1,,,,
2021/10/29,2021/10/28,4605.38,60.48,1.330722348,1,,,,
2021/10/22,2021/10/21,4544.9,73.53,1.644462435,1,,,,
2021/10/15,2021/10/14,4471.37,80.03,1.82245055,1,,,,
2021/10/8,2021/10/7,4391.34,34.3,0.787231699,1,,,,
2021/10/1,2021/9/30,4357.04,-98.44,-2.209414025,0,,,,
2021/9/24,2021/9/23,4455.48,22.49,0.507332523,1,,,,
2021/9/17,2021/9/16,4432.99,-25.59,-0.573949553,0,,,,
2021/9/10,2021/9/9,4458.58,-76.85,-1.694436911,0,,,,
2021/9/3,2021/9/2,4535.43,26.06,0.577907779,1,,,,
2021/8/27,2021/8/26,4509.37,67.7,1.524201483,1,,,,
2021/8/20,2021/8/19,4441.67,-26.33,-0.589301701,0,,,,
2021/8/13,2021/8/12,4468,31.48,0.709565155,1,,,,
2021/8/6,2021/8/5,4436.52,41.26,0.93873855,1,,,,
2021/7/30,2021/7/29,4395.26,-16.53,-0.374677852,0,,,,
2021/7/23,2021/7/22,4411.79,84.63,1.955786243,1,,,,
2021/7/16,2021/7/15,4327.16,-42.39,-0.970122782,0,,,,
2021/7/9,2021/7/8,4369.55,17.21,0.395419476,1,,,,
2021/7/2,2021/7/1,4352.34,71.64,1.673558063,1,,,,
2021/6/25,2021/6/24,4280.7,114.25,2.742142591,1,,,,
2021/6/18,2021/6/17,4166.45,-80.99,-1.906795623,0,,,,
2021/6/11,2021/6/10,4247.44,17.55,0.414904406,1,,,,
2021/6/4,2021/6/3,4229.89,25.78,0.613209455,1,,,,
2021/5/28,2021/5/27,4204.11,48.25,1.161011199,1,,,,
2021/5/21,2021/5/20,4155.86,-17.99,-0.431016927,0,,,,
2021/5/14,2021/5/13,4173.85,-58.75,-1.388035723,0,,,,
2021/5/7,2021/5/6,4232.6,51.43,1.230038482,1,,,,
2021/4/30,2021/4/29,4181.17,1,0.023922472,1,,,,
2021/4/23,2021/4/22,4180.17,-5.3,-0.126628551,0,,,,
2021/4/16,2021/4/15,4185.47,56.67,1.372553769,1,,,,
2021/4/9,2021/4/8,4128.8,108.93,2.709789123,1,,,,
2021/4/2,2021/4/1,4019.87,45.33,1.140509342,1,,,,
2021/3/26,2021/3/25,3974.54,61.44,1.570110654,1,,,,
2021/3/19,2021/3/18,3913.1,-30.24,-0.766862609,0,,,,
2021/3/12,2021/3/11,3943.34,101.4,2.639291608,1,,,,
2021/3/5,2021/3/4,3841.94,30.79,0.807892631,1,,,,
2021/2/26,2021/2/25,3811.15,-95.56,-2.446047953,0,,,,
2021/2/19,2021/2/18,3906.71,-28.12,-0.714643326,0,,,,
2021/2/12,2021/2/11,3934.83,48,1.234939527,1,,,,
2021/2/5,2021/2/4,3886.83,172.59,4.646711036,1,,,,
2021/1/29,2021/1/28,3714.24,-127.23,-3.31201337,0,,,,
2021/1/22,2021/1/21,3841.47,16.79,0.438990974,1,,,,
2021/1/8,2021/1/7,3824.68,68.61,1.826643273,1,,,,
2021/1/1,2020/12/31,3756.07,53.01,1.431518798,1,,,,
2020/12/25,2020/12/24,3703.06,-6.35,-0.171186253,0,,,,
2020/12/18,2020/12/17,3709.41,45.95,1.254278742,1,,,,
2020/12/11,2020/12/10,3663.46,-35.66,-0.964013063,0,,,,
2020/12/4,2020/12/3,3699.12,60.77,1.670262619,1,,,,
2020/11/27,2020/11/26,3638.35,80.81,2.271513462,1,,,,
2020/11/20,2020/11/19,3557.54,-27.61,-0.770121194,0,,,,
2020/11/13,2020/11/12,3585.15,75.71,2.157324245,1,,,,
2020/11/6,2020/11/5,3509.44,239.48,7.323636986,1,,,,
2020/10/30,2020/10/29,3269.96,-195.43,-5.639480693,0,,,,
2020/10/23,2020/10/22,3465.39,-18.42,-0.528731475,0,,,,
2020/10/16,2020/10/15,3483.81,6.68,0.192112461,1,,,,
2020/10/9,2020/10/8,3477.13,128.69,3.843282245,1,,,,
2020/10/2,2020/10/1,3348.44,49.98,1.515252572,1,,,,
2020/9/25,2020/9/24,3298.46,-21.01,-0.632932366,0,,,,
2020/9/18,2020/9/17,3319.47,-21.5,-0.643525683,0,,,,
2020/9/11,2020/9/10,3340.97,-85.99,-2.509221001,0,,,,
2020/9/4,2020/9/3,3426.96,-81.05,-2.310426709,0,,,,
2020/8/28,2020/8/27,3508.01,110.85,3.263019699,1,,,,
2020/8/21,2020/8/20,3397.16,24.31,0.720755444,1,,,,
2020/8/14,2020/8/13,3372.85,21.57,0.643634671,1,,,,
2020/8/7,2020/8/6,3351.28,80.16,2.450536819,1,,,,
2020/7/31,2020/7/30,3271.12,55.49,1.725633857,1,,,,
2020/7/24,2020/7/23,3215.63,-9.1,-0.282194168,0,,,,
2020/7/17,2020/7/16,3224.73,39.69,1.246138196,1,,,,
