DATE,Price,MoM,YoY
2023/3/1,-48.04765,-0.209646376,-151.34 
2023/2/1,-39.72041,-0.024948147,-144.14 
2023/1/1,-38.75358,-0.678528471,-147.42 
2022/12/1,-23.08783,-4.497896368,-134.34 
2022/11/1,6.60049,-0.849474168,-90.81 
2022/10/1,43.84955,-0.037854928,-39.89 
2022/9/1,45.57478,0.653759359,-27.53 
2022/8/1,27.55829,-0.542629083,-52.28 
2022/7/1,60.2537,-0.365348023,1.76 
2022/6/1,94.93975,-0.085688914,35.68 
2022/5/1,103.83747,-0.114984955,37.02 
2022/4/1,117.32848,0.253720364,54.34 
2022/3/1,93.58425,0.039936389,25.11 
2022/2/1,89.99036,0.101075083,56.86 
2022/1/1,81.72954,0.215485549,69.11 
2021/12/1,67.24024,-0.063882027,64.22 
2021/11/1,71.82881,-0.015302748,88.98 
2021/10/1,72.94507,0.159977883,115.59 
2021/9/1,62.88488,0.08883554,119.79 
2021/8/1,57.75425,-0.024590172,114.32 
2021/7/1,59.21024,-0.153846055,130.19 
2021/6/1,69.97573,-0.076645477,121.20 
2021/5/1,75.78425,-0.003105092,150.24 
2021/4/1,76.0203,0.016258603,157.18 
2021/3/1,74.80409,0.303863845,530.27 
2021/2/1,57.37109,0.187103586,1587.42 
2021/1/1,48.32863,0.180353794,384.06 
2020/12/1,40.94419,0.077223836,170.48 
2020/11/1,38.00899,0.123382343,201.83 
2020/10/1,33.83442,0.182552379,665.95 
2020/9/1,28.61135,0.061749648,267.00 
2020/8/1,26.94736,0.047619048,211.35 
2020/7/1,25.72248,-0.186889831,254.23 
2020/6/1,31.63468,0.044580443,316.19 
2020/5/1,30.28458,0.024550305,27356.55 
2020/4/1,29.5589,1.490529569,453.68 
2020/3/1,11.86852,4.077065871,46.31 
2020/2/1,-3.85709,-1.386329832,-128.76 
2020/1/1,9.98393,-0.340457944,-34.45 
2019/12/1,15.13767,0.202067334,-44.51 
2019/11/1,12.59303,3.106428497,-71.73 
2019/10/1,-5.97838,0.65104301,-112.78 
2019/9/1,-17.13214,0.292069399,-133.45 
2019/8/1,-24.20031,-0.451058,-151.18 
2019/7/1,-16.6777,-0.139756258,-135.10 
2019/6/1,-14.63269,-133.6626473,-127.62 
2019/5/1,0.1103,-0.979339269,-99.82 
2019/4/1,5.33863,-0.341879994,-90.65 
2019/3/1,8.11194,-0.39510217,-87.57 
2019/2/1,13.41043,-0.119479111,-80.85 
2019/1/1,15.23011,-0.441724608,-73.12 
2018/12/1,27.28064,-0.387685037,-49.08 
2018/11/1,44.55328,-0.04780765,-23.35 
2018/10/1,46.79021,-0.086397617,-19.94 
2018/9/1,51.21507,0.083045804,0.79 
2018/8/1,47.288,-0.004800478,-7.47 
2018/7/1,47.5161,-0.102966796,-15.78 
2018/6/1,52.97028,-0.145804733,-4.68 
2018/5/1,62.01191,0.085887159,-8.56 
2018/4/1,57.10714,-0.124999962,-15.44 
2018/3/1,65.2653,-0.067841116,-20.67 
2018/2/1,70.01521,0.235532804,-18.20 
2018/1/1,56.66803,0.057625912,-34.31 
2017/12/1,53.58041,-0.078170952,-43.56 
2017/11/1,58.12402,-0.005535731,-31.05 
2017/10/1,58.44757,0.150225046,-11.58 
2017/9/1,50.81403,-0.005739097,-15.27 
2017/8/1,51.10734,-0.094156126,-9.29 
2017/7/1,56.41959,0.015283895,4.87 
2017/6/1,55.57026,-0.180546558,-9.65 
2017/5/1,67.81381,0.004091655,-2.97 
2017/4/1,67.53747,-0.179114774,-3.27 
2017/3/1,82.27395,-0.038820354,10.93 
2017/2/1,85.59685,-0.00777258,25.48 
2017/1/1,86.26737,-0.091346143,3.19 
2016/12/1,94.93975,0.126189017,-2.72 
2016/11/1,84.30179,0.275330429,-18.99 
2016/10/1,66.10192,0.102196492,-30.00 
2016/9/1,59.9729,0.064473027,-39.35 
2016/8/1,56.34046,0.04724361,-42.68 
2016/7/1,53.79881,-0.125286889,-49.48 
2016/6/1,61.50452,-0.119949507,-43.30 
2016/5/1,69.88749,0.000993008,-30.54 
2016/4/1,69.81816,-0.058638574,-20.54 
2016/3/1,74.16722,0.087287046,-20.78 
2016/2/1,68.2131,-0.18409716,-24.50 
2016/1/1,83.60444,-0.143356844,-2.40 
2015/12/1,97.59541,-0.06216811,-3.60 
2015/11/1,104.06493,0.102017223,-3.87 
2015/10/1,94.43131,-0.045104075,-12.18 
2015/9/1,98.89173,0.006113388,-16.69 
2015/8/1,98.29084,-0.076957982,-13.12 
2015/7/1,106.48577,-0.018303843,-10.48 
2015/6/1,108.47121,0.078147583,-10.70 
2015/5/1,100.60887,0.145016403,-16.14 
2015/4/1,87.86675,-0.061498626,-30.77 
2015/3/1,93.62453,0.036266006,-27.05 
2015/2/1,90.34797,0.054718902,-29.54 
2015/1/1,85.66071,-0.153846116,-36.66 
2014/12/1,101.23538,-0.064847785,-25.92 
2014/11/1,108.25551,0.006816241,-15.31 
2014/10/1,107.52261,-0.094148249,-12.45 
2014/9/1,118.6978,0.049233846,-10.36 
2014/8/1,113.12807,-0.048943707,-12.19 
2014/7/1,118.94992,-0.020755551,-1.57 
2014/6/1,121.47112,0.012521661,13.53 
2014/5/1,119.96891,-0.054806961,35.85 
2014/4/1,126.9253,-0.010985072,62.03 
2014/3/1,128.33507,0.000825319,46.21 
2014/2/1,128.22924,-0.051876133,43.43 
2014/1/1,135.24524,-0.01031627,57.40 
2013/12/1,136.65501,0.0691162,80.96 
2013/11/1,127.82054,0.040794883,76.40 
2013/10/1,122.8105,-0.072584031,59.39 
2013/9/1,132.42224,0.027859632,73.38 
2013/8/1,128.833,0.066082502,71.69 
2013/7/1,120.84712,0.129507764,82.00 
2013/6/1,106.99096,0.211566432,50.94 
2013/5/1,88.30796,0.127288074,10.49 
2013/4/1,78.33664,-0.1074974,-15.39 
2013/3/1,87.77189,-0.018242929,-11.58 
2013/2/1,89.40286,0.040457489,-1.10 
2013/1/1,85.92649,0.137838181,-5.93 
2012/12/1,75.51732,0.04219695,-18.39 
2012/11/1,72.45974,-0.059598027,-22.70 
2012/10/1,77.05188,0.008854925,-23.67 
2012/9/1,76.37558,0.017849649,-16.80 
2012/8/1,75.03621,0.130101868,-29.89 
2012/7/1,66.39774,-0.063253955,-53.39 
2012/6/1,70.88126,-0.11315272,-49.84 
2012/5/1,79.92499,-0.136715451,-46.45 
2012/4/1,92.58244,-0.067386265,-43.22 
2012/3/1,99.27201,0.098230631,-37.56 
2012/2/1,90.39268,-0.010361284,-45.52 
2012/1/1,91.33907,-0.012937096,-41.57 
2011/12/1,92.53622,-0.012856959,-38.65 
2011/11/1,93.74145,-0.071394254,-24.79 
2011/10/1,100.9486,0.099697843,-11.47 
2011/9/1,91.79667,-0.142293767,-22.92 
2011/8/1,107.02577,-0.248648279,-12.11 
2011/7/1,142.4443,0.008118706,3.73 
2011/6/1,141.29715,-0.053288408,-3.84 
2011/5/1,149.25047,-0.084614363,-4.42 
2011/4/1,163.04655,0.025461222,-7.94 
2011/3/1,158.99826,-0.041637393,-8.12 
2011/2/1,165.90616,0.061291838,-4.10 
2011/1/1,156.32473,0.036448714,-10.93 
2010/12/1,150.82727,0.210174233,-10.48 
2010/11/1,124.63269,0.092998454,-21.77 
2010/10/1,114.02824,-0.0425092,-28.15 
2010/9/1,119.09069,-0.022032433,-24.63 
2010/8/1,121.77366,-0.113246205,-26.78 
2010/7/1,137.32522,-0.065462821,-16.91 
2010/6/1,146.94463,-0.058981386,-13.84 
2010/5/1,156.15486,-0.11827358,3.17 
2010/4/1,177.10126,0.023400691,31.56 
2010/3/1,173.05173,0.00025681,35.23 
2010/2/1,173.0073,-0.014262844,34.71 
2010/1/1,175.51058,0.041756546,53.20 
2009/12/1,168.47562,0.057494139,54.60 
2009/11/1,159.31589,0.003862817,4.56 
2009/10/1,158.70285,0.0043879,16.92 
2009/9/1,158.00952,-0.049888835,78.70 
2009/8/1,166.30635,0.006228882,80.40 
2009/7/1,165.27686,-0.03091452,71.25 
2009/6/1,170.54931,0.126852972,67.49 
2009/5/1,151.3501,0.124266126,65.29 
2009/4/1,134.62124,0.05195321,97.11 
2009/3/1,127.97265,-0.003588937,199.30 
2009/2/1,128.43359,0.121082714,241.46 
2009/1/1,114.5621,0.05123483,1361.34 
2008/12/1,108.9786,-0.284760571,1948.11 
2008/11/1,152.3666,0.122505782,1002.14 
2008/10/1,135.73792,0.535106631,1366.05 
2008/9/1,88.42247,-0.040862332,509.66 
2008/8/1,92.18955,-0.044810907,627.01 
2008/7/1,96.51445,-0.052170543,869.09 
2008/6/1,101.82681,0.112064514,1489.91 
2008/5/1,91.56556,0.340654655,474.95 
2008/4/1,68.29914,0.597358222,356.09 
2008/3/1,42.75756,0.136774301,226.51 
2008/2/1,37.61306,5.141221677,242.41 
2008/1/1,-9.0826,-0.540269572,62.50 
2007/12/1,-5.89676,0.650861957,81.93 
2007/11/1,-16.88948,-0.575308402,46.93 
2007/10/1,-10.72138,0.503281073,57.48 
2007/9/1,-21.5844,-0.233889957,16.64 
2007/8/1,-17.49297,-0.393946566,2.47 
2007/7/1,-12.54924,-0.712933224,-59.12 
2007/6/1,-7.32617,0.700004218,-238.95 
2007/5/1,-24.42091,0.084331364,-382.40 
2007/4/1,-26.67003,0.210866478,-346.83 
2007/3/1,-33.7966,-0.279584858,-633.88 
2007/2/1,-26.41216,-0.090498165,-793.96 
2007/1/1,-24.22027,0.25792172,-530.21 
2006/12/1,-32.63843,-0.025599104,-317.94 
2006/11/1,-31.82377,-0.262144821,-222.11 
2006/10/1,-25.21404,0.026197313,-174.11 
2006/9/1,-25.89235,-0.443588629,-195.76 
2006/8/1,-17.9361,-1.27424711,-147.78 
2006/7/1,-7.88661,-2.495815039,-117.39 
2006/6/1,5.27245,-0.390305388,-88.62 
2006/5/1,8.64769,-0.199656269,-84.38 
2006/4/1,10.80497,0.706841127,-85.77 
2006/3/1,6.33039,0.663261526,-93.05 
2006/2/1,3.80601,-0.323956496,-95.30 
2006/1/1,5.62983,-0.624073761,-93.98 
2005/12/1,14.97589,-0.425379122,-85.13 
2005/11/1,26.06221,-0.233951528,-76.35 
2005/10/1,34.02162,0.258205312,-70.04 
2005/9/1,27.0398,-0.279691821,-77.74 
2005/8/1,37.53921,-0.172307799,-72.91 
2005/7/1,45.35407,-0.021466051,-71.05 
2005/6/1,46.349,-0.162630434,-74.20 
2005/5/1,55.35071,-0.271150327,-69.30 
2005/4/1,75.94256,-0.165864742,-53.17 
2005/3/1,91.04346,0.123653047,-33.54 
2005/2/1,81.02453,-0.133641065,-45.77 
2005/1/1,93.52305,-0.071325293,-38.84 
2004/12/1,100.70593,-0.086305644,-36.76 
2004/11/1,110.2184,-0.029487131,-31.27 
2004/10/1,113.56717,-0.065246391,-28.54 
2004/9/1,121.49423,-0.123175704,-23.22 
2004/8/1,138.56166,-0.115577496,-16.90 
2004/7/1,156.66908,-0.12776636,9.28 
2004/6/1,179.61825,-0.003647246,75.84 
2004/5/1,180.27576,0.111650286,61.47 
2004/4/1,162.16949,0.183808684,24.00 
2004/3/1,136.98961,-0.083098585,10.40 
2004/2/1,149.40495,-0.022878535,16.49 
2004/1/1,152.90315,-0.039880918,12.81 
2003/12/1,159.25436,-0.006984775,17.77 
2003/11/1,160.37454,0.009130748,21.77 
2003/10/1,158.92345,0.004315074,50.11 
2003/9/1,158.24063,-0.05100481,54.09 
2003/8/1,166.74545,0.163036012,37.25 
2003/7/1,143.37084,0.403527369,1.29 
2003/6/1,102.15037,-0.085075572,-33.71 
2003/5/1,111.64897,-0.146315593,-32.45 
2003/4/1,130.78483,0.054013837,-21.94 
2003/3/1,124.08265,-0.032530091,-28.15 
2003/2/1,128.25479,-0.053789173,-16.51 
2003/1/1,135.54568,0.00239273,-14.98 
2002/12/1,135.22213,0.026718793,-14.85 
2002/11/1,131.70318,0.244031062,6.69 
2002/10/1,105.86808,0.030890166,5.64 
2002/9/1,102.69579,-0.15467581,15.04 
2002/8/1,121.48687,-0.141677091,90.45 
2002/7/1,141.53982,-0.08146025,100.40 
2002/6/1,154.09221,-0.067672208,138.21 
2002/5/1,165.27686,-0.013561519,193.69 
2002/4/1,167.54908,-0.029851722,924.41 
2002/3/1,172.70461,0.124235148,940.89 
2002/2/1,153.61965,-0.036379788,873.01 
2002/1/1,159.41929,0.00390038,481.10 
2001/12/1,158.79991,0.286416295,370.19 
2001/11/1,123.44364,0.231719227,415.50 
2001/10/1,100.2206,0.122641397,363.62 
2001/9/1,89.27214,0.399486308,357.08 
2001/8/1,63.78922,-0.096815894,294.28 
2001/7/1,70.62704,0.091818469,413.29 
2001/6/1,64.68753,0.149465138,394.70 
2001/5/1,56.2762,2.440788818,589.46 
2001/4/1,16.35561,1.796347988,1589.07 
2001/3/1,-20.53827,-0.033477113,-209.86 
2001/2/1,-19.87298,0.524920029,-152.97 
2001/1/1,-41.83081,0.288270178,-178.07 
2000/12/1,-58.77344,-0.50212629,-225.37 
2000/11/1,-39.12683,-0.029179457,-231.19 
2000/10/1,-38.0175,-0.09480538,-186.18 
2000/9/1,-34.72535,-0.057615639,-209.04 
2000/8/1,-32.83362,-0.456451662,-179.38 
2000/7/1,-22.54357,-0.027035363,-160.44 
2000/6/1,-21.95014,-3.689190381,-139.94 
2000/5/1,8.16236,8.431271509,-78.94 
2000/4/1,-1.09838,-1.058750251,-105.35 
2000/3/1,18.69575,-0.501659159,-5.74 
2000/2/1,37.51599,-0.299818908,245.58 
2000/1/1,53.58041,0.142964624,3078.19 
1999/12/1,46.87845,0.571861739,1357.39 
1999/11/1,29.82352,-0.32398233,6967.98 
1999/10/1,44.11648,0.38526851,263.15 
1999/9/1,31.84688,-0.230069912,189.02 
1999/8/1,41.36334,0.108905216,491.64 
1999/7/1,37.30106,-0.321213548,784.56 
1999/6/1,54.95257,0.417999834,1155.51 
1999/5/1,38.75358,0.886896024,343.61 
1999/4/1,20.53827,0.035444527,135.10 
1999/3/1,19.83522,0.827110388,219.98 
1999/2/1,10.85606,5.439402567,382.96 
1999/1/1,1.68588,1.452194345,6.88 
1998/12/1,-3.72822,-7.585620855,-131.30 
1998/11/1,-0.43424,0.98394071,-102.73 
1998/10/1,-27.0398,0.244186144,-210.42 
1998/9/1,-35.77574,-2.387308861,-218.71 
1998/8/1,-10.5617,-0.938307154,-129.22 
1998/7/1,-5.44893,-0.046609185,-117.05 
1998/6/1,-5.20627,-1.595959908,-111.82 
1998/5/1,8.73594,0,-84.70 
1998/4/1,8.73594,0.409252152,-86.56 
1998/3/1,6.19899,1.757754111,-90.08 
1998/2/1,2.24784,0.425100804,-96.22 
1998/1/1,1.57732,-0.867592742,-97.55 
1997/12/1,11.91264,-0.249884296,-73.73 
1997/11/1,15.88107,-0.351451316,-63.06 
1997/10/1,24.48709,-0.187465304,-59.93 
1997/9/1,30.13667,-0.166240288,-58.73 
1997/8/1,36.14551,0.130763111,-47.09 
1997/7/1,31.96559,-0.274325043,-53.27 
1997/6/1,44.04946,-0.228340045,-43.38 
1997/5/1,57.08403,-0.121649969,-19.94 
1997/4/1,64.99007,0.039666789,7.60 
1997/3/1,62.51048,0.05120282,31.81 
1997/2/1,59.46567,-0.077428284,121.37 
1997/1/1,64.45642,0.421508669,17331.02 
1996/12/1,45.34367,0.054749244,3713.40 
1996/11/1,42.99,-0.296484896,569.12 
1996/10/1,61.10743,-0.163116782,355.09 
1996/9/1,73.01787,0.068743962,304.98 
1996/8/1,68.3212,-0.00128988,90.46 
1996/7/1,68.40944,-0.120682863,244.63 
1996/6/1,77.79837,0.091151029,863.55 
1996/5/1,71.29936,0.180423665,141.74 
1996/4/1,60.4015,0.273657495,21.26 
1996/3/1,47.42366,0.765389569,-19.91 
1996/2/1,26.863,71.64589756,-64.45 
1996/1/1,0.36978,-0.689014852,-99.65 
1995/12/1,1.18906,-0.814927687,-98.94 
1995/11/1,6.42484,-0.521514866,-95.05 
1995/10/1,13.42746,-0.255271215,-90.81 
1995/9/1,18.03,-0.497382374,-86.29 
1995/8/1,35.8722,0.807164638,-73.19 
1995/7/1,19.84999,1.458471016,-86.29 
1995/6/1,8.07412,-0.726252949,-94.12 
1995/5/1,29.49482,-0.407855345,-80.80 
1995/4/1,49.81016,-0.158757674,-69.89 
1995/3/1,59.21024,-0.216362382,-61.04 
1995/2/1,75.55819,-0.286670261,-42.43 
1995/1/1,105.92323,-0.052851798,-17.16 
1994/12/1,111.83385,-0.138101478,-18.14 
1994/11/1,129.75292,-0.111941574,-0.80 
1994/10/1,146.10854,0.111276208,28.65 
1994/9/1,131.47815,-0.01753245,22.00 
1994/8/1,133.82442,-0.075631461,4.99 
1994/7/1,144.77388,0.054741258,9.94 
1994/6/1,137.26009,-0.106486891,-2.17 
1994/5/1,153.61844,-0.071347665,4.86 
1994/4/1,165.42083,0.088347705,14.10 
1994/3/1,151.99263,0.158097321,9.35 
1994/2/1,131.2434,0.026460631,-15.54 
1994/1/1,127.86014,-0.06412076,-24.31 
1993/12/1,136.62034,0.04452692,-25.99 
1993/11/1,130.79638,0.151709424,-28.89 
1993/10/1,113.56717,0.053827944,-32.06 
1993/9/1,107.76633,-0.154543454,-28.95 
1993/8/1,127.46525,-0.032052725,-19.41 
1993/7/1,131.68615,-0.061425573,-22.52 
1993/6/1,140.30443,-0.04226966,-16.38 
