Date,Price,Change,PercentChange,dummy,dummy1
2023/3/31,4109.31,139.16,3.505157236,1,0
2023/2/28,3970.15,-106.45,-2.611244665,0,1
2023/1/31,4076.6,237.1,6.17528324,1,0
2022/12/30,3839.5,-240.61,-5.89714493,0,0
2022/11/30,4080.11,208.13,5.375286029,1,0
2022/10/31,3871.98,286.36,7.986345458,1,0
2022/9/30,3585.62,-369.38,-9.339570164,0,0
2022/8/31,3955,-175.29,-4.244011922,0,1
2022/7/29,4130.29,344.91,9.111634763,1,0
2022/6/30,3785.38,-346.77,-8.391999322,0,0
2022/5/31,4132.15,0.22,0.005324388,1,1
2022/4/29,4131.93,-398.48,-8.795671915,0,0
2022/3/31,4530.41,156.47,3.577323877,1,0
2022/2/28,4373.94,-141.61,-3.136052087,0,1
2022/1/31,4515.55,-250.63,-5.258508911,0,0
2021/12/31,4766.18,199.18,4.361287497,1,0
2021/11/30,4567,-38.38,-0.833373142,0,1
2021/10/29,4605.38,297.84,6.91438733,1,0
2021/9/30,4307.54,-215.14,-4.756914042,0,1
2021/8/31,4522.68,127.42,2.899032139,1,0
2021/7/30,4395.26,97.76,2.274810937,1,0
2021/6/30,4297.5,93.39,2.221397632,1,0
2021/5/31,4204.11,22.94,0.548650258,1,1
2021/4/30,4181.17,208.28,5.242531256,1,0
2021/3/31,3972.89,161.74,4.243863401,1,1
2021/2/26,3811.15,96.91,2.609147497,1,1
2021/1/29,3714.24,-41.83,-1.113664016,0,0
2020/12/31,3756.07,134.44,3.712140666,1,1
2020/11/30,3621.63,351.67,10.75456581,1,0
2020/10/30,3269.96,-93.04,-2.766577461,0,1
2020/9/30,3363,-137.31,-3.92279541,0,1
2020/8/31,3500.31,229.19,7.006468732,1,1
2020/7/31,3271.12,170.83,5.510129698,1,1
2020/6/30,3100.29,55.98,1.838840328,1,1
2020/5/29,3044.31,131.88,4.528177501,1,1
2020/4/30,2912.43,327.84,12.68441029,1,0
2020/3/31,2584.59,-369.63,-12.51193208,0,0
2020/2/28,2954.22,-271.3,-8.411046901,0,0
2020/1/31,3225.52,-5.26,-0.162808981,0,1
2019/12/31,3230.78,89.8,2.858980318,1,0
2019/11/29,3140.98,103.42,3.404706409,1,0
2019/10/31,3037.56,60.82,2.043174748,1,0
2019/9/30,2976.74,50.28,1.718116769,1,0
2019/8/30,2926.46,-53.92,-1.809165274,0,0
2019/7/31,2980.38,38.62,1.312819537,1,0
2019/6/28,2941.76,189.7,6.893018321,1,0
2019/5/31,2752.06,-193.77,-6.577772648,0,0
2019/4/30,2945.83,111.43,3.931343494,1,0
2019/3/29,2834.4,49.91,1.792428775,1,1
2019/2/28,2784.49,80.39,2.972893014,1,0
2019/1/31,2704.1,197.25,7.868440473,1,1
2018/12/31,2506.85,-253.32,-9.177695577,0,0
2018/11/30,2760.17,48.43,1.78593818,1,1
2018/10/31,2711.74,-202.24,-6.940335898,0,0
2018/9/28,2913.98,12.46,0.429430092,1,0
2018/8/31,2901.52,85.23,3.026321863,1,1
2018/7/31,2816.29,97.92,3.602158647,1,0
2018/6/29,2718.37,13.1,0.48424002,1,1
2018/5/31,2705.27,57.22,2.160835332,1,1
2018/4/30,2648.05,7.18,0.2718801,1,0
2018/3/30,2640.87,-72.96,-2.688451377,0,0
2018/2/28,2713.83,-109.98,-3.89473796,0,1
2018/1/31,2823.81,150.2,5.617872465,1,0
2017/12/29,2673.61,26.03,0.983161982,1,1
2017/11/30,2647.58,72.32,2.808260137,1,0
2017/10/31,2575.26,55.9,2.218817477,1,0
2017/9/29,2519.36,47.71,1.930289483,1,1
2017/8/31,2471.65,1.35,0.054649233,1,1
2017/7/31,2470.3,46.89,1.934876888,1,1
2017/6/30,2423.41,11.61,0.481383199,1,0
2017/5/31,2411.8,27.6,1.157621005,1,1
2017/4/28,2384.2,21.48,0.90912169,1,0
2017/3/31,2362.72,-0.92,-0.038923017,0,0
2017/2/28,2363.64,84.77,3.719826054,1,1
2017/1/31,2278.87,40.04,1.788434137,1,1
2016/12/30,2238.83,40.02,1.820075404,1,1
2016/11/30,2198.81,72.66,3.417444677,1,1
2016/10/31,2126.15,-42.12,-1.942562504,0,1
2016/9/30,2168.27,-2.68,-0.12344826,0,1
2016/8/31,2170.95,-2.65,-0.121917556,0,0
